id;title;payment_date;project_id;user_id;user_level;payment_value;payment_pack
1;;20.12.2020;234234654674652422;10205316875161302;126;2;cash_2
2;;18.02.2021;242456536768789769;972666206200995;123;2;cash_2
3;;08.02.2021;345346476578687696;1969249539782575;53;2;cash_2
4;;19.12.2020;234234654674652422;1506543762710516;19;1;cash_1
5;;04.12.2020;234245654675475689;10209307375587833;48;1;cash_1
6;;02.12.2020;234234654674652422;1723959804323445;111;1;cash_1
7;;31.01.2021;242456536768789769;1786129771411599;36;3;cash_3
8;;20.01.2021;123123412353465547;1191290354288541;67;1;cash_1
9;;27.01.2021;123142536767899006;10212268245755524;42;1;cash_1
10;;24.12.2020;123142536767899006;10210283367665406;437;1;cash_1
11;;11.02.2021;123123123124566789;1447976231981602;29;1;cash_1
12;;30.11.2020;123142536767899006;1685958661691916;370;2;cash_1
13;;03.02.2021;896769120371203787;10213297560176626;100;1;cash_1
14;;07.02.2021;198341298461294614;1919226555030497;35;1;cash_1
15;;30.12.2020;896769120371203787;1126719670795982;72;2;cash_2
16;;01.01.2021;123142536767899006;1527870240574832;84;1;cash_1
17;;23.12.2020;242456536768789769;1389427874427025;48;4;cash_4
18;;10.02.2021;345346476578687696;10214159231401561;47;2;cash_2
19;;08.01.2021;123123412353465547;10209700549178919;55;2;cash_1
20;;23.01.2021;198341298461294614;1311369595576475;22;2;cash_2
21;;03.01.2021;123126578909545443;1579581785426110;47;1;cash_1
22;;01.01.2021;198341298461294614;1416905141759139;30;3;cash_3
23;;12.02.2021;345346476578687696;770724409763253;35;1;cash_1
24;;12.12.2020;234234654674652422;10212818018271419;17;1;cash_1
25;;15.02.2021;123123123124566789;10208660326733793;38;1;cash_1
26;;31.12.2020;242456536768789769;10155853864779447;164;1;cash_1
27;;21.01.2021;242456536768789769;1657597427597855;58;2;cash_2
28;;12.01.2021;198341298461294614;10155081379263712;280;2;cash_1
29;;05.01.2021;123123412353465547;10210064704752534;206;1;cash_1
30;;18.12.2020;123142536767899006;1383637905021664;109;1;cash_1
31;;07.12.2020;234234654674652422;1539289986086222;45;1;cash_1
32;;07.12.2020;123123412353465547;10209899408294967;223;1;cash_1
33;;23.12.2020;198341298461294614;10207744699752265;158;1;cash_1
34;;13.12.2020;234245654675475689;1945975792289111;99;2;cash_2
35;;09.02.2021;123142536767899006;10212562914773979;10;1;cash_1
36;;12.01.2021;896769120371203787;1604826109595114;23;5;cash_1
37;;24.12.2020;198341298461294614;10208520140023837;59;1;cash_1
38;;09.01.2021;198341298461294614;1345255668839202;88;1;cash_1
39;;14.01.2021;123142536767899006;10215022554107024;48;3;cash_3
40;;03.02.2021;234234654674652422;10210429423480688;719;2;cash_2
41;;11.02.2021;896769120371203787;1758541944180338;53;1;cash_1
42;;15.02.2021;123123123124566789;10208993458165920;158;1;cash_1
43;;11.12.2020;198341298461294614;1398151486870032;13;1;cash_1
