resp,dt,weight
1,01/01/2015,2.75189177
2,01/01/2015,5.217999422
3,01/01/2015,2.444452149
4,01/01/2015,12.95696418
5,01/01/2015,6.674970378
6,01/01/2015,1.714272514
7,01/01/2015,3.71680414
8,01/01/2015,0.793291909
9,01/01/2015,1.149196509
10,01/01/2015,1.072810977
11,01/01/2015,2.91408725
12,01/01/2015,1.59766494
13,01/01/2015,3.7538021
14,01/01/2015,13.7102185
15,01/01/2015,3.766381914
16,01/01/2015,1.193512138
17,01/01/2015,1.596251684
18,01/01/2015,4.540739024
19,01/01/2015,0.864237809
20,01/01/2015,1.112327523
21,01/01/2015,4.738730492
22,01/01/2015,1.597448815
23,01/01/2015,12.90927672
24,01/01/2015,11.64755266
25,01/01/2015,0.793291909
26,01/01/2015,1.112327523
27,01/01/2015,4.801939555
28,01/01/2015,6.587106168
29,01/01/2015,2.099396096
1,02/01/2015,2.926173456
2,02/01/2015,3.944382932
3,02/01/2015,1.180470005
4,02/01/2015,13.76932998
5,02/01/2015,5.670718703
6,02/01/2015,1.297369064
7,02/01/2015,3.075927571
8,02/01/2015,1.301227334
9,02/01/2015,1.049882151
10,02/01/2015,2.263585542
11,02/01/2015,1.522894994
12,02/01/2015,0.740518017
13,02/01/2015,2.645759387
14,02/01/2015,14.36180317
15,02/01/2015,4.904766459
16,02/01/2015,0.93276431
17,02/01/2015,1.383821978
18,02/01/2015,2.95294536
19,02/01/2015,1.230021149
20,02/01/2015,0.986762234
21,02/01/2015,6.705148446
22,02/01/2015,2.062696426
23,02/01/2015,15.47227509
24,02/01/2015,10.56880884
25,02/01/2015,1.301227334
26,02/01/2015,0.986762234
27,02/01/2015,5.506453955
28,02/01/2015,5.521068452
29,02/01/2015,1.615429498
1,03/01/2015,3.416447367
2,03/01/2015,4.764257932
3,03/01/2015,1.664875472
4,03/01/2015,14.89115621
5,03/01/2015,8.405833587
6,03/01/2015,1.63088594
7,03/01/2015,2.87666912
8,03/01/2015,0.72329047
9,03/01/2015,1.755753713
10,03/01/2015,1.173541607
11,03/01/2015,3.327318936
12,03/01/2015,1.012734696
13,03/01/2015,5.19403005
14,03/01/2015,14.95416597
15,03/01/2015,5.214342444
16,03/01/2015,0.766081593
17,03/01/2015,2.20061899
18,03/01/2015,3.845364572
19,03/01/2015,0.712884618
20,03/01/2015,0.777263952
21,03/01/2015,8.067406209
22,03/01/2015,1.404889121
23,03/01/2015,13.86669381
24,03/01/2015,7.983428276
25,03/01/2015,0.72329047
26,03/01/2015,0.777263952
27,03/01/2015,4.496669691
28,03/01/2015,4.637363612
29,03/01/2015,1.169186677
1,04/01/2015,2.761951866
2,04/01/2015,4.586818032
3,04/01/2015,1.766794321
4,04/01/2015,13.63653821
5,04/01/2015,5.520052058
6,04/01/2015,1.678057945
7,04/01/2015,3.764196453
8,04/01/2015,0.604715581
9,04/01/2015,1.909119577
10,04/01/2015,1.250353169
11,04/01/2015,2.823839496
12,04/01/2015,1.115159331
13,04/01/2015,4.511092136
14,04/01/2015,13.65140732
15,04/01/2015,3.668370081
16,04/01/2015,0.971260836
17,04/01/2015,0.71939132
18,04/01/2015,4.91198488
19,04/01/2015,0.603520088
20,04/01/2015,0.645454817
21,04/01/2015,5.570734982
22,04/01/2015,0.595008249
23,04/01/2015,13.61399748
24,04/01/2015,10.85026706
25,04/01/2015,0.604715581
26,04/01/2015,0.645454817
27,04/01/2015,5.428918971
28,04/01/2015,5.664248678
29,04/01/2015,1.88341148
1,05/01/2015,1.505174666
2,05/01/2015,1.228768604
3,05/01/2015,1.78655928
4,05/01/2015,16.54975397
5,05/01/2015,5.790429105
6,05/01/2015,1.296314815
7,05/01/2015,3.563309932
8,05/01/2015,0.673402518
9,05/01/2015,0.674446219
10,05/01/2015,0.865743188
